id,value
TRUE 인버스 유로선물 ETN	,	20560
TRUE 인버스 차이나H ETN(H)	,	20510
신한 은 선물 ETN(H)	,	20400
QV 수자원 테마 ETN	,	20290
에이리츠	,	20103
TRUE 코스피 양매도 ETN	,	20070
미래에셋 글로벌 리츠 ETN(H)	,	20060
ARIRANG 바벨 채권	,	20002
QV HMR 테마 ETN	,	19950
신한 달러인덱스 선물 ETN(H)	,	19930
삼성 바이오 테마주 ETN	,	19800
미래에셋 미국 리츠 ETN(H)	,	19790
KODEX 밸류Plus	,	19719
QV 방위산업 테마 ETN	,	19710
한화케미칼우	,	19665
넥센우	,	19659
QV 건설 TOP5 ETN	,	19630
QV 운송 TOP5 ETN	,	19620
신한 인버스 달러인덱스 선물 ETN(H)	,	19510
QV 핀테크 테마 ETN	,	19470
미래에셋 인버스 원유선물혼합 ETN(H)	,	19350
하이골드8호	,	19303
QV 항공우주 테마 ETN	,	19260
신한 인버스 구리 선물 ETN(H)	,	19210
TRUE 유로선물 ETN	,	19170
KTOP 코스피50	,	19121
'QV 스마트리밸런싱 250/3 ETN	,	19090
코리아써우	,	18944
KOSEF 국고채10년	,	18828
KBSTAR 고배당	,	18794
대덕GDS우	,	18706
KBSTAR 200선물인버스	,	18676
QV 사물인터넷 테마 ETN	,	18620
대한항공우	,	18606
QV 고령화 테마 ETN	,	18480
신한 인버스 금 선물 ETN(H)	,	18420
TRUE 엔선물 ETN	,	18390
ARIRANG 미국S&P500(H)	,	18270
파워 중기국고채	,	18118
삼양홀딩스우	,	18091
QV 내수소비 TOP5 ETN	,	18090
미래에셋 원유선물혼합 ETN(H)	,	18040
대상우	,	18018
신한 콩 선물 ETN(H)	,	17960
삼성 온라인쇼핑 테마주 ETN	,	17950
KODEX 코스피100	,	17854
QV 바이오 TOP5 ETN	,	17810
KBSTAR 200선물레버리지	,	17778
KOSEF KRX100	,	17712
KINDEX 베트남VN30(합성)	,	17678
